Country,Military Troops (Active),Military Troops (Reserve),Military Troops (Para-),Military Troops (Total),Military Troops (Total) (per capita),Military Troops (Active) (per capita)
Afghanistan[1],200000,0,0,200000,0.0064,0.0064
Albania[2],14295,5000,500,19795,0.0054,0.0039
Algeria[3],147000,150000,187200,484200,0.0142,0.0043
Angola[4],107000,0,0,107000,0.0084,0.0084
Antigua and Barbuda[5],170,75,0,245,0.0029,0.002
Argentina[6],73100,18200,31240,122540,0.0031,0.0018
Armenia[7],46684,210000,4748,261432,0.0881,0.0157
Australia[8][9],59023,21850,0,80873,0.0038,0.0028
Austria[10][11],25963,27000,0,52963,0.0065,0.0032
Azerbaijan[12],66940,300000,15000,381940,0.0464,0.0081
Bahamas[13],860,0,0,860,0.0028,0.0028
Bahrain[14],8200,0,11260,19460,0.0267,0.0113
Bangladesh[15],280000,2400000,1100000,3780000,0.0242,0.0018
Barbados[13],610,430,0,1040,0.0037,0.0021
Belarus[16],72940,289500,110000,472440,0.049,0.0076
Belgium[17],38452,2040,0,40492,0.0039,0.0037
Belize[18],1050,700,0,1750,0.0057,0.0034
Benin[19],4750,0,2500,7250,0.0008,0.0005
Bhutan[20][21],8000,0,1000,9000,0.0127,0.0113
Bolivia[22],46100,0,37100,83200,0.0085,0.0047
Bosnia and Herzegovina[23],9656,0,0,9656,0.0021,0.0021
Botswana[24],9000,0,1500,10500,0.0053,0.0045
Brazil[25][a],327710,1340000,395000,2062710,0.0104,0.0016
Brunei[27],7000,700,2250,9950,0.0256,0.018
Bulgaria[28],35000,13150,3400,51550,0.0072,0.0049
Burkina Faso[29],11200,0,250,11450,0.0007,0.0007
Burma[30],406000,0,107250,513250,0.0107,0.0084
Burundi[31],20000,0,31050,51050,0.0054,0.0021
Cambodia[32],124300,0,67000,191300,0.0132,0.0086
Cameroon[33],14100,0,9000,23100,0.0012,0.0007
Canada[34],68250,55150,4554,127954,0.0038,#VALUE!
Cape Verde[36],1200,0,0,1200,0.0028,0.0028
Central African Republic[37],2150,0,1000,3150,0.0007,0.0005
Chad[38],25350,0,9500,34850,0.0034,0.0025
Chile[39],60560,40000,41500,142060,0.0086,0.0036
People's Republic of China[40][41],2285000,800000,3969000,7054000,0.0052,#VALUE!
Colombia[43],449415,790000,144097,1383512,0.0292,0.0095
Costa Rica[44],0,0,9800,9800,0.0023,0
Croatia[45],18600,21000,3000,42600,0.0095,0.0041
Cuba[46][b],49000,1159000,26500,1234500,0.1078,0.0043
Cyprus[47],10050,50000,750,60800,0.056,0.0093
Czech Republic[48],17932,0,10988,28920,0.0028,0.0018
C“te d'Ivoire[49],17050,10000,1500,28550,0.0014,0.0008
Democratic Republic of the Congo[50],151251,0,1400,152651,0.0022,0.0022
Denmark[51],26585,53507,0,80092,0.0146,0.0048
Djibouti[52],12000,2000,2450,16450,0.0178,0.013
Dominican Republic[53],49910,0,15000,64910,0.0067,0.0052
Ecuador[54],57983,118000,400,176383,0.0121,0.004
Egypt[55],468500,479000,397000,1344500,0.017,0.0059
El Salvador[56],15500,9900,17000,42400,0.0059,0.0022
Equatorial Guinea[57],1320,0,2000,3320,0.0052,0.0021
Eritrea[58],201750,120000,0,321750,0.0529,0.0331
Estonia[59][60][61],4750,60000,22508,87258,0.0672,0.0037
Ethiopia[62],138000,0,0,138000,0.0016,0.0016
Fiji[63],3500,6000,0,9500,0.0101,0.0037
Finland[64][c],22600,354600,11500,388700,0.074,0.0043
France[65][66] [d],222215,93099,98155,413469,0.0064,0.0034
Gabon[67],4700,0,2000,6700,0.0044,0.0031
Gambia[68],800,0,0,800,0.0004,0.0004
Georgia[69][70][71][72],37461,70000,11700,119161,0.0265,0.0083
Germany[73][74][75],182927,144000,0,326927,0.004,0.0022
Ghana[76],15500,0,0,15500,0.0006,0.0006
Greece[77][78],177600,280000,4000,461600,0.0427,0.0164
Guatemala[79],15212,63863,18536,97611,0.0074,0.0011
Guinea[80],12300,0,7000,19300,0.0019,0.0012
Guinea-Bissau[81],4450,0,2000,6450,0.0042,0.0029
Guyana[82],1100,670,1500,3270,0.0043,0.0015
Haiti[83],0,0,2000,2000,0.0002,0
Honduras[84],12000,60000,8000,80000,0.0102,0.0015
Hungary[85],29450,44000,12000,85450,0.0086,0.003
Iceland[86],0,0,130,130,0.0004,0
India[87][e],1325000,2142821,1300586,4768407,0.0039,0.0011
Indonesia[88],438410,400000,280000,1118410,0.0046,0.0018
Iran[89][90][f],523000,350000,1510000,2383000,0.0359,0.0079
Iraq[91],271400,0,0,271400,0.0094,0.0094
Ireland[92],10460,14875,0,25335,0.0055,0.0023
Israel[93],176500,445000,7650,629150,0.0792,0.0222
Italy[94][95],180270,,167397,347667,0.0058,0.003
Jamaica[96],2830,953,0,3783,0.0013,0.001
Japan[97],230300,41800,12250,284350,0.0022,0.0018
Jordan[98],100500,65000,10000,175500,0.028,0.016
Kazakhstan[99],49000,0,31500,80500,0.0052,0.0032
Kenya[100],24120,0,5000,29120,0.0007,0.0006
Kosovo[101][102][103],2500,800,0,3300,0.0019,0.0014
Kuwait[104],15500,23700,7100,46300,0.0172,0.0058
Kyrgyzstan[105],10900,0,9500,20400,0.0038,0.002
Laos[106],29100,0,100000,129100,0.0189,0.0043
Latvia[107][g],5745,10866,0,16611,0.0074,0.0026
Lebanon[108],59100,232635,20000,311735,0.0776,0.0147
Lesotho[109],2000,0,0,2000,0.0009,0.0009
Liberia[110],2400,0,0,2400,0.0007,0.0007
Libya[111][h],76000,40000,0,116000,0.0183,0.012
Lithuania[112],8850,6700,14600,30150,0.0085,0.0025
Luxembourg[113],900,0,612,1512,0.0031,0.0018
Madagascar[114],13500,0,8100,21600,0.001,0.0007
Malawi[115],5300,0,1500,6800,0.0005,0.0004
Malaysia[116][i],109000,296300,24600,429900,0.0167,0.0042
Mali[117],7350,0,7800,15150,0.0011,0.0005
Malta[118],1954,167,0,2121,0.0052,0.0048
Mauritania[119],15870,0,5000,20870,0.0067,0.0051
Mauritius[120],0,0,2000,2000,0.0016,0
Mexico[121],267506,39899,36500,343905,0.0031,0.0024
Moldova[122],5998,66000,2379,74377,0.0172,0.0014
Monaco[123][124][125],0,0,263,263,0.0073,0
Mongolia[126],10000,137000,7200,154200,0.0507,0.0033
Montenegro[127],3127,0,10100,13227,0.0197,0.0047
Morocco[128],195800,150000,50000,395800,0.0127,0.0063
Mozambique[129],11200,0,0,11200,0.0005,0.0005
Namibia[130],9200,0,6000,15200,0.0072,0.0044
Nepal[131],95753,0,62000,157753,0.0055,0.0034
Netherlands[132],61302,3339,3000,67641,0.004,0.0037
New Zealand[133],9702,2249,0,11951,0.0028,0.0023
Nicaragua[134],12000,0,0,12000,0.002,0.002
Niger[135],5300,0,5400,10700,0.0007,0.0003
Nigeria[136],80000,0,82000,162000,0.0011,0.0005
Democratic People's Republic of Korea[137][j],1106000,8200000,189000,9495000,0.3867,0.045
Norway[138],24025,45250,0,69275,0.0149,0.0052
Oman[139],42600,0,4400,47000,0.0138,0.0125
Pakistan[140][141],617000,513000,304000,1434000,0.0082,0.0035
Palestine[142][k],0,0,56000,56000,0.014,0
Panama[143],0,0,12000,12000,0.0036,0
Papua New Guinea[144],3100,0,0,3100,0.0005,0.0005
Paraguay[145],10650,164500,14800,189950,0.0272,0.0015
Peru[146][l],114000,195000,77000,386000,0.0131,0.0039
Philippines[147][m][148],220000,430000,140000,790000,0.0081,0.0022
Poland[149],120000,515000,28000,663000,0.0172,0.0031
Portugal[150],43330,210900,47700,301930,0.0282,0.004
Qatar[151],11800,0,0,11800,0.0134,0.0134
Republic of Macedonia[152],8000,4850,0,12850,0.0062,0.0039
Republic of the Congo[153],10000,0,2000,12000,0.003,0.0025
Romania[154],73350,45000,79900,198250,0.0089,0.0033
Russian Federation[155][156][n],766000,2035000,449000,3250000,0.0227,0.0053
Rwanda[157],33000,0,2000,35000,0.0033,0.0031
Saint Kitts and Nevis[158][o],70,130,119,319,0.0062,0.0014
S?o Tom‚ and Pr¡ncipe[159][160],600,0,0,600,0.0033,0.0033
Saudi Arabia[161],233500,0,15500,249000,0.0087,0.0081
Senegal[162],13620,0,5000,18620,0.0014,0.001
Serbia[163][164],36000,170000,10000,216000,0.0293,0.0049
Seychelles[165],200,0,450,650,0.0074,0.0023
Sierra Leone[166],10500,0,0,10500,0.002,0.002
Singapore[167][p],72500,356500,93800,522800,0.1122,0.0156
Slovakia[168],16531,0,0,16531,0.003,0.003
Slovenia[169],7200,3800,4500,15500,0.0077,0.0036
Somalia[170],62000,23000,0,85000,0.0086,0.0063
South Africa[171],62082,15071,12382,89535,0.0018,0.0013
Republic of Korea[172][q],687000,1000000,3500000,5187000,0.1036,0.0137
South Ossetia[173][174],2500,16000,0,18500,0.2569,0.0347
Spain[175],123300,16000,80210,219510,0.0047,0.0026
Sri Lanka[176][177][r],223100,35900,62200,321200,0.0151,0.0105
Sudan[176][s],109300,85000,17500,211800,0.0052,0.0027
Suriname[178],1840,0,0,1840,0.0038,0.0038
Swaziland[179][180][181][t],3000,0,644,3644,0.0031,0.0025
Sweden[182][u],15400,34000,800,50200,0.0055,0.0017
Switzerland[183],22059,174071,7000,203130,0.0267,0.0029
Syria[184],325000,314000,108000,747000,0.0343,0.0149
Republic of China (Taiwan)[185],290000,1657000,17000,1964000,0.0855,0.0126
Tajikistan[186],8800,0,7500,16300,0.0022,0.0012
Tanzania[187],27000,80000,1400,108400,0.0026,0.0007
Thailand[188][189][v],305860,245000,113700,664560,0.0101,0.0046
Timor Leste[190],1332,0,0,1332,0.0013,0.0013
Tonga[191][192],220,280,0,500,0.0045,0.002
Togo[193],8550,0,750,9300,0.0015,0.0014
Trinidad and Tobago[194],4063,0,0,4063,0.0033,0.0033
Tunisia[195],35800,0,12000,47800,0.0046,0.0034
Turkey[196][197],664049,378700,45181,1087930,0.0142,#VALUE!
Turkmenistan[199],22000,0,0,22000,0.0045,0.0045
Uganda[200],45000,0,1800,46800,0.0014,0.0014
Ukraine[201][202],130000,1000000,84900,1214900,0.0266,0.0028
United Arab Emirates[203],51000,0,0,51000,0.0106,0.0106
United Kingdom[204][205][206],205850,181720,0,387570,0.0063,0.0034
United States of America[w][207][208][209][210],1429995,850880,11035,2291910,0.0073,0.0045
Uruguay[211],24621,0,920,25541,0.0073,0.007
Uzbekistan[212],67000,0,20000,87000,0.0032,0.0024
Vanuatu[213],0,0,300,300,0.0013,0
Venezuela[214][215],115000,38000,400000,553000,0.0206,0.0043
Vietnam[216][x],455000,5000000,40000,5495000,0.062,0.0051
Yemen[217],66700,0,71200,137900,0.006,0.0029
Zambia[218],15100,3000,1400,19500,0.0016,0.0013
Zimbabwe[219],29000,0,21800,50800,0.0045,0.0025
